minute,req_per_min,baseline_req_per_min,resid_log,z,is_core,is_expanded
2024-03-22 18:00:00+04:00,405,420.936,-0.038499,-0.144004,False,False
2024-03-22 18:01:00+04:00,720,418.737,0.541012,2.023618,False,False
2024-03-22 18:02:00+04:00,590,416.549,0.347414,1.299478,False,False
2024-03-22 18:03:00+04:00,325,414.373,-0.24228,-0.906231,False,False
2024-03-22 18:04:00+04:00,496,412.208,0.184638,0.690626,False,False
2024-03-22 18:05:00+04:00,993,410.055,0.88301,3.30284,False,False
2024-03-22 18:06:00+04:00,622,407.913,0.421045,1.574889,False,False
2024-03-22 18:07:00+04:00,500,405.782,0.208329,0.779242,False,False
2024-03-22 18:08:00+04:00,621,403.662,0.429889,1.607969,False,False
2024-03-22 18:09:00+04:00,837,401.553,0.733192,2.742454,False,False
2024-03-22 18:10:00+04:00,835,399.455,0.736027,2.75306,False,False
2024-03-22 18:11:00+04:00,670,397.368,0.521393,1.950235,False,False
2024-03-22 18:12:00+04:00,870,395.292,0.787491,2.945557,False,False
2024-03-22 18:13:00+04:00,1049,393.227,0.97962,3.664201,False,False
2024-03-22 18:14:00+04:00,1337,391.172,1.22723,4.590372,False,False
2024-03-22 18:15:00+04:00,1377,389.128,1.261913,4.720099,False,False
2024-03-22 18:16:00+04:00,1184,387.095,1.116248,4.175248,False,False
2024-03-22 18:17:00+04:00,787,385.073,0.713473,2.668696,False,False
2024-03-22 18:18:00+04:00,1016,383.061,0.973812,3.642478,False,False
2024-03-22 18:19:00+04:00,1082,381.059,1.041915,3.897213,False,False
2024-03-22 18:20:00+04:00,828,379.068,0.77987,2.917051,False,False
2024-03-22 18:21:00+04:00,812,377.087,0.765606,2.863698,False,False
2024-03-22 18:22:00+04:00,802,375.117,0.758455,2.836949,False,False
2024-03-22 18:23:00+04:00,869,373.157,0.843819,3.156246,False,False
2024-03-22 18:24:00+04:00,1127,371.207,1.108752,4.147211,False,False
2024-03-22 18:25:00+04:00,997,369.267,0.991529,3.708747,False,False
2024-03-22 18:26:00+04:00,527,367.337,0.360097,1.346918,False,False
2024-03-22 18:27:00+04:00,853,365.418,0.846157,3.164993,False,False
2024-03-22 18:28:00+04:00,657,363.508,0.590656,2.209308,False,False
2024-03-22 18:29:00+04:00,343,361.609,-0.052682,-0.197055,False,False
2024-03-22 18:30:00+04:00,461,359.719,0.247466,0.92563,False,False
2024-03-22 18:31:00+04:00,290,357.839,-0.20955,-0.783809,False,False
2024-03-22 18:32:00+04:00,225,355.969,-0.457114,-1.709802,False,False
2024-03-22 18:33:00+04:00,455,354.109,0.250069,0.935367,False,False
2024-03-22 18:34:00+04:00,942,352.258,0.981868,3.672611,False,False
2024-03-22 18:35:00+04:00,684,350.417,0.667446,2.496535,False,False
2024-03-22 18:36:00+04:00,646,348.585,0.615598,2.302603,False,False
2024-03-22 18:37:00+04:00,1213,346.764,1.250153,4.676113,False,True
2024-03-22 18:38:00+04:00,1412,344.951,1.407173,5.263434,True,True
2024-03-22 18:39:00+04:00,10744,343.148,3.441123,12.871288,True,True
2024-03-22 18:40:00+04:00,10773,341.355,3.449043,12.900914,True,True
2024-03-22 18:41:00+04:00,849,339.571,0.914614,3.421051,False,True
2024-03-22 18:42:00+04:00,3508,337.796,2.337689,8.743968,True,True
2024-03-22 18:43:00+04:00,3720,336.03,2.401575,8.982931,True,True
2024-03-22 18:44:00+04:00,963,334.274,1.056144,3.950436,False,True
2024-03-22 18:45:00+04:00,670,332.526,0.699047,2.614739,False,False
2024-03-22 18:46:00+04:00,470,330.788,0.350361,1.310502,False,False
2024-03-22 18:47:00+04:00,525,329.059,0.466029,1.743152,False,False
2024-03-22 18:48:00+04:00,924,327.339,1.035747,3.874142,False,False
2024-03-22 18:49:00+04:00,1112,325.628,1.225993,4.585743,False,False
2024-03-22 18:50:00+04:00,650,323.926,0.694913,2.599276,False,False
2024-03-22 18:51:00+04:00,474,322.232,0.384944,1.439855,False,False
2024-03-22 18:52:00+04:00,447,320.548,0.331647,1.240504,False,False
2024-03-22 18:53:00+04:00,384,318.872,0.185322,0.693186,False,False
2024-03-22 18:54:00+04:00,577,317.205,0.596878,2.232582,False,False
2024-03-22 18:55:00+04:00,1066,315.547,1.215135,4.545132,False,False
2024-03-22 18:56:00+04:00,828,313.897,0.967975,3.620643,False,False
2024-03-22 18:57:00+04:00,290,312.256,-0.073697,-0.27566,False,False
2024-03-22 18:58:00+04:00,310,310.623,-0.002002,-0.00749,False,False
2024-03-22 18:59:00+04:00,772,308.999,0.913709,3.417666,False,False
2024-03-22 19:00:00+04:00,710,307.384,0.835327,3.124485,False,False
